time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,temp_fuel
0.00012811666640443,3.8145129880806e+20,1.5068342154251e+21,3.7565849271834e+21,2.6222792112288e+21,1.707133170192e+21,4.725164937438e+20,973.00230383727
0.00015473999968531,4.2481299450982e+20,1.6781245659048e+21,4.1836173314075e+21,2.9203686242278e+21,1.9011925479876e+21,5.2621558720732e+20,973.00296276036
0.00018668799962237,4.8410650831484e+20,1.9123498641878e+21,4.7675486905396e+21,3.3279814497619e+21,2.166553370431e+21,5.9965959583723e+20,973.00386383173
0.00022502559954685,5.6751023778502e+20,2.2418170222508e+21,5.5889212736685e+21,3.9013401575292e+21,2.5398170585979e+21,7.0297162832641e+20,973.00513140582
0.00027103071945622,6.8900624658582e+20,2.7217590181367e+21,6.7854329208249e+21,4.7365648676631e+21,3.0835592568767e+21,8.534698677544e+20,973.00697813944
0.00032623686334746,8.7388633468645e+20,3.4520854356532e+21,8.6061620722689e+21,6.0075253129128e+21,3.9109721432067e+21,1.0824841540888e+21,973.00978885952
0.00039248423601695,1.1711019727504e+21,4.6261682581134e+21,1.153319306272e+22,8.0507421603927e+21,5.2411372859905e+21,1.4506542571104e+21,973.01430886658
0.00047198108322034,1.6842133052086e+21,6.6530904611319e+21,1.6586365808306e+22,1.1578093209509e+22,7.5374706760394e+21,2.0862268057905e+21,973.02210934666
0.00056737729986441,2.6540951181963e+21,1.0484381194542e+22,2.6137900287995e+22,1.8245537834521e+22,1.1878062127052e+22,3.2876285378829e+21,973.0368603652
0.0006818527598373,4.7234499870869e+21,1.8658881571753e+22,4.6517211877316e+22,3.2471325680908e+22,2.1139254788963e+22,5.8509971451884e+21,973.06836295021
0.00081922331180476,9.9325594932479e+21,3.9236242109189e+22,9.7817360581476e+22,6.8281534560043e+22,4.4452365724015e+22,1.2303910638513e+22,973.14785609097
0.00098406797416571,2.6424309718941e+22,1.0438306073677e+23,2.6023180867812e+23,1.8165671275001e+23,1.1826340807661e+23,3.2736155708291e+22,973.4016351677
0.0011818815689988,9.5238838825548e+22,3.762188601262e+23,9.379468966213e+23,6.5476351644902e+23,4.262980801455e+23,1.1803506347632e+23,974.4992650074
