time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,temp_blanket,temp_fuel
0.0090841299433999,3.990311111128e+20,1.5773051681644e+21,3.9392237301131e+21,2.7513291515951e+21,1.794524245929e+21,5.0000149248511e+20,963172841.58015,973.24095423096,1031.2872821394
0.01060798910507,3.482853353355e+20,1.3769259663045e+21,3.4393065272331e+21,2.4018946492316e+21,1.5661579152452e+21,4.3588310144784e+20,840673968.71373,973.24244667407,1031.354920498
0.012436620099075,3.3787928358085e+20,1.3358327229569e+21,3.3367787616492e+21,2.330233906675e+21,1.5193338311741e+21,4.2274570896122e+20,815547513.36547,973.24413282232,1031.4266830835
0.01463097729188,3.3507945831638e+20,1.3247729563893e+21,3.3091779375479e+21,2.3109477691181e+21,1.5067414544747e+21,4.1922315415003e+20,808779854.72808,973.24601517166,1031.5014544983
0.017264205923246,3.3332926262253e+20,1.3178570070782e+21,3.2919136560858e+21,2.2988881110196e+21,1.4988742579927e+21,4.1702993415047e+20,804544450.44986,973.24808018244,1031.5766712108
0.020424080280886,3.3149342717192e+20,1.3106019885614e+21,3.2738016333584e+21,2.2862374029507e+21,1.4906234245212e+21,4.1473179745014e+20,800100913.89396,973.25029336273,1031.648656595
0.024215929510053,3.2937650339858e+20,1.3022359758847e+21,3.2529157287853e+21,2.2716495346855e+21,1.4811096534115e+21,4.1208226990486e+20,794977423.14543,973.25259160814,1031.7128573983
0.028766148585055,3.2691573866866e+20,1.2925109446251e+21,3.2286367495218e+21,2.2546919636117e+21,1.4700507903107e+21,4.0900264635661e+20,789022481.23084,973.25487430878,1031.7644244918
0.034226411475056,3.2405900177252e+20,1.2812207238879e+21,3.2004497703558e+21,2.2350050435647e+21,1.4572123922262e+21,4.0542772130056e+20,782110270.22931,973.25699477285,1031.7994473303
0.040778726943057,3.207481081443e+20,1.2681351700911e+21,3.1677798035245e+21,2.2121871714763e+21,1.4423326586193e+21,4.0128473310105e+20,774100451.28422,973.25875465046,1031.8170691531
0.048641505504659,3.1691679333218e+20,1.2529921176603e+21,3.1299716707498e+21,2.185780682449e+21,1.4251132073127e+21,3.9649079689917e+20,764833324.30472,973.25990620733,1031.8224029743
0.058076839778581,3.1250129571939e+20,1.2355390301504e+21,3.0863937618781e+21,2.1553442067364e+21,1.4052661789047e+21,3.9096603043517e+20,754155316.61223,973.26017124987,1031.8293389929
0.069399240907288,3.0741562402896e+20,1.2154355441997e+21,3.0361950125521e+21,2.1202832652211e+21,1.3824038951578e+21,3.8460300043715e+20,741859954.25836,973.25929226249,1031.8607943022
0.082986122261736,3.0160261005546e+20,1.1924552446535e+21,2.9788074626915e+21,2.0802012629158e+21,1.3562674388586e+21,3.7733027336112e+20,727810942.33651,973.25713891693,1031.9426063756
0.099290379887074,2.950321154642e+20,1.1664789611823e+21,2.9139303494401e+21,2.0348886759115e+21,1.3267200681254e+21,3.6911070321077e+20,711938766.85566,973.25388406273,1032.0887728754
0.11885548903748,2.8773158324819e+20,1.1376153454104e+21,2.8418312759231e+21,1.9845333221155e+21,1.2938844551667e+21,3.5997957119762e+20,694314613.08051,973.25020608362,1032.2837558317
0.14233362001796,2.7979700279313e+20,1.1062440819991e+21,2.7634544084268e+21,1.9297955285079e+21,1.2581919615659e+21,3.5005800298566e+20,675176912.1793,973.24736634743,1032.4779896518
0.17050737719455,2.7138146508807e+20,1.0729705796469e+21,2.6803077648824e+21,1.871728980346e+21,1.2203313404429e+21,3.3953864529111e+20,654903915.20719,973.24694047454,1032.6084123768
0.20431588580645,2.6273330271646e+20,1.0387758335625e+21,2.5948361340906e+21,1.8120409913002e+21,1.1814180343745e+21,3.2873289476148e+20,634105318.28598,973.25009045917,1032.626990154
0.24488609614073,2.542751310444e+20,1.0053276436969e+21,2.5111961168439e+21,1.7536348074053e+21,1.1433471329064e+21,3.1816983649802e+20,613813074.04268,973.25665834599,1032.4994943251
0.29357034854186,2.4678500334188e+20,9.7569571869961e+20,2.4370411200069e+21,1.7018567377726e+21,1.1096075721159e+21,3.0882339867341e+20,595919726.71953,973.26493248051,1032.1664936617
0.35199145142323,2.4161510427635e+20,9.5521608849982e+20,2.3856808275789e+21,1.6660050673353e+21,1.0862690570794e+21,3.0238723886111e+20,583710904.46925,973.27283669615,1031.4914681615
