time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,temp_blanket,temp_fuel
0.0006818527598373,2.7601608711942e+18,1.0892888165241e+19,2.7191012550949e+19,1.9061758001012e+19,1.2490538584735e+19,3.5136954947947e+18,6784008.677716,973.00385948244,973.03427083394
0.00081922331180476,2.8619810772315e+18,1.1294718721481e+19,2.8194068815074e+19,1.9764930916605e+19,1.2951303440781e+19,3.6433119400019e+18,7034264.8966453,973.00463565027,973.04115072729
0.00098406797416571,2.9896457309941e+18,1.1798543647233e+19,2.9451725098896e+19,2.0646586160368e+19,1.352902159017e+19,3.8058282083799e+18,7348042.2128,973.00556644154,973.04939588028
0.0011818815689988,3.1511613426218e+18,1.2435960399432e+19,3.1042855465374e+19,2.176201683049e+19,1.4259924689508e+19,4.0114365444309e+18,7745019.2048549,973.00668251442,973.05927473845
0.0014192578827986,3.3577426028199e+18,1.3251227422945e+19,3.3077938519106e+19,2.3188671757864e+19,1.5194762282835e+19,4.2744131924296e+18,8252759.5831321,973.00802054302,973.07110750044
0.0017041094593583,3.6254813160775e+18,1.4307850544024e+19,3.5715498450464e+19,2.5037681169362e+19,1.6406354171998e+19,4.6152429427992e+18,8910814.1245176,973.00962437111,973.0852756962
0.00204593135123,3.9781116272373e+18,1.5699495850903e+19,3.91893459112e+19,2.7472953354314e+19,1.8002103805368e+19,5.0641392574395e+18,9777517.0952642,973.01154637599,973.10223341617
0.002456117621476,4.451759909142e+18,1.7568734976179e+19,4.3855370226511e+19,3.0743977398562e+19,2.0145492782388e+19,5.6670908652268e+18,10941660.604565,973.01384907708,973.12252048403
0.0029483411457712,5.1034454021298e+18,2.0140592597646e+19,5.0275281072358e+19,3.5244528586199e+19,2.30945484867e+19,6.4966830569404e+18,12543387.604288,973.01660702863,973.14677800201
0.0035390093749255,6.027025767735e+18,2.3785475064859e+19,5.9373691675121e+19,4.1622788392111e+19,2.7274001952327e+19,7.6723963719094e+18,14813383.11795,973.01990904354,973.17576702331
0.0042478112499105,7.3847870671102e+18,2.9143839208564e+19,7.2749318474114e+19,5.0999504644375e+19,3.3418240750637e+19,9.4008206212775e+18,18150516.464714,973.02386081023,973.21039195017
0.0050983734998927,9.4741590331959e+18,3.738948197391e+19,9.3332207546955e+19,6.5428726677233e+19,4.2873213041102e+19,1.2060583525866e+19,23285814.761443,973.02858800027,973.25173252286
0.0061190481998712,1.2879730491073e+19,5.0829464192813e+19,1.2688127042322e+20,8.8947622123945e+19,5.8284336897905e+19,1.6395866826516e+19,31656087.503054,973.03424006833,973.30109479217
0.0073438578398454,1.8852798978276e+19,7.4401990250608e+19,1.8572330566055e+20,1.3019764133504e+20,8.5314061050604e+19,2.3999575253186e+19,46336784.444186,973.04099527419,973.36011173955
0.0088136294078145,3.0371111556878e+19,1.1985863841407e+20,2.9919272005821e+20,2.0974307054843e+20,1.3743746919389e+20,3.8662398132513e+19,74646620.029403,973.04906861233,973.43099419538
0.010577355289377,5.5535836879695e+19,2.1917039012339e+20,5.4709577622094e+20,3.8353046666503e+20,2.5131448500387e+20,7.0697222887503e+19,136496576.46892,973.05872896289,973.51730964229
0.012693826347253,1.2043738352324e+20,4.7530210750309e+20,1.1864543102129e+21,8.3173987510987e+20,5.4501134448329e+20,1.5331784509571e+20,296010771.22319,973.07035355693,973.62696227687
0.015233591616703,3.2626333397908e+20,1.2875867313682e+21,3.2140875679244e+21,2.2531732374914e+21,1.4764331548882e+21,4.1534299137644e+20,801877113.53963,973.08466684492,973.78611208073
0.018281309940044,1.0520570300198e+21,4.1519020762449e+21,1.0364038724617e+22,7.2655406937894e+21,4.7609285699016e+21,1.3393836403006e+21,2585555679.5935,973.10379055671,974.10122296304
0.021938571928053,2.6016552209237e+21,1.0267311159729e+22,2.5629586035901e+22,1.7967471319264e+22,1.1773998453101e+22,3.31279646635e+21,6392796825.7733,973.1319686332,974.80176497977
0.025595833916062,3.6034436370156e+21,1.4220791583896e+22,3.5498750548502e+22,2.4886705801605e+22,1.6308826047683e+22,4.5895654455894e+21,8852326157.9583,973.16343022574,975.70906521676
0.029253095904071,3.5139381526961e+21,1.386754449752e+22,3.4617325901511e+22,2.4269251738633e+22,1.5904831377566e+22,4.4766377417095e+21,8630481558.2181,973.19428586262,976.59249882289
0.033641810289681,2.6261405973944e+21,1.0363912297886e+22,2.5871556723647e+22,1.8138123916475e+22,1.188719142352e+22,3.3462863456544e+21,6448676626.5795,973.22709720226,977.42031593058
0.038908267552414,1.6177899190921e+21,6.3845463205014e+21,1.5938013885094e+22,1.1173969810985e+22,7.323207403398e+21,2.0616600460406e+21,3972006098.3537,973.26069233423,978.09659359826
0.045228016267693,9.0627736208707e+20,3.5766342018637e+21,8.9286533297352e+21,6.2597696236725e+21,4.1025072313426e+21,1.1549380957839e+21,2224876815.5165,973.29576610843,978.63382932545
0.052811714726028,5.2506687112392e+20,2.0722290872495e+21,5.1732067079883e+21,3.6268272562153e+21,2.3768662694119e+21,6.6906488663327e+20,1288933530.5311,973.33382321618,979.09125912996
0.06191215287603,3.5557245363465e+20,1.4033395096261e+21,3.5034568956653e+21,2.4561589682318e+21,1.6095957956826e+21,4.5302041977653e+20,872814027.45782,973.37627513843,979.52312324644
0.072832678656033,2.8709005591989e+20,1.1330824926967e+21,2.8288163223177e+21,1.9831644630508e+21,1.2995894989223e+21,3.6573144411254e+20,704679356.07176,973.4240766366,979.95995491123
0.085937309592036,2.5704808541324e+20,1.0145259583778e+21,2.5328670572222e+21,1.7756727060728e+21,1.1635995688564e+21,3.2744481877655e+20,630910241.57347,973.47767290308,980.4097974418
0.10166286671524,2.3923641396777e+20,9.4423472095519e+20,2.3574029737105e+21,1.6526540509377e+21,1.0829757751761e+21,3.0474977738823e+20,587164341.90256,973.53699957433,980.8647184051
0.12053353526308,2.2507930796617e+20,8.8836577839815e+20,2.2179418038162e+21,1.5548773393825e+21,1.0188966449972e+21,2.8671386713783e+20,552391030.17809,973.60140079989,981.30541273705
0.1431783375205,2.1226213656647e+20,8.3778482091139e+20,2.0916821471043e+21,1.4663562740695e+21,9.6088479340661e+20,2.7038642721854e+20,520909346.64054,973.66943453035,981.70292934682
0.17035210022939,2.0015973353548e+20,7.900246925252e+20,1.9724659819964e+21,1.3827733871563e+21,9.0611122135406e+20,2.5497074139929e+20,491185295.92431,973.73858008963,982.01918823527
0.20296061548007,1.8854359503098e+20,7.4418329039374e+20,1.8580420239174e+21,1.3025502433967e+21,8.5354233539544e+20,2.4017570393746e+20,462658196.26207,973.80487507707,982.20814371283
